id,Name,Total pop. 1981,Total pop. 1991,Pop. density 1981,Pop. density 1991,% 0-14 years,% 15-24 years,% 25-64 years,% 65 or more years,% male 1981,% female 1981,% male 1991,% female 1991,Abs. pop. change from 1981 to 1991,% pop. change from 1981 to 1991,% female among employed 1991,% unemployed in total pop. 1991,% female among unemployed 1991,% employed in agriculture 1981,% employed in industry 1981,% employed in services 1981,% employed in agriculture 1991,% employed in industry 1991,% employed in services 1991,% pop. no primary school education 1981,% pop. with primary school education 1981,% pop. with preparatory school education 1981,% pop. with high school education 1981,% pop. no primary school education 1991,% pop. with primary school education 1991,% pop. with preparatory school education 1991,% pop. with high school education 1991,total employed in agriculture 1991,total employed in industry 1991,total employed in services 1991,N pop. no primary school education 1991,N pop. with primary school education 1991,N pop. with preparatory school education 1991,N. pop. with high school education 1991
1315,Valongo,64234,74172,880.038,1016.194,22.20,18.79,51.87,7.14,48.72,51.28,48.85,51.15,9938,15.47,40.65,3.20,60.00,2.57,57.47,39.96,1.03,50.71,48.26,42.80,39.94,5.78,11.492,11.90,30.70,8.87,6.40,357,17546,16696,8823,22768,6581,4746
1316,Vila do Conde,64402,64836,431.331,434.237,22.32,18.72,49.48,9.48,49.01,50.99,48.96,51.04,434,0.67,41.62,2.04,52.61,17.90,59.77,22.33,11.71,60.18,28.11,47.33,37.27,4.15,11.241,12.65,31.07,12.41,4.47,3634,18668,8719,8199,20144,8047,2899
1317,Vila Nova de Gaia,226331,248565,1324.968,1455.128,20.22,17.55,52.61,9.63,48.3,51.7,48.56,51.44,22234,9.82,41.34,2.76,56.24,2.49,53.98,43.54,1.39,48.93,49.68,43.66,39.18,6.81,10.352,11.61,29.86,7.14,7.07,1611,56729,57609,28863,74213,17759,17580
1401,Abrantes,48653,45697,69.469,65.248,16.21,14.76,49.97,19.07,48.48,51.52,48.78,51.22,-2956,-6.08,32.51,3.03,69.68,17.62,44.63,37.75,10.26,38.48,51.26,52.56,32.42,7.01,8.013,17.45,26.07,5.77,6.52,1728,6477,8629,7973,11914,2636,2981
1402,Alcanena,14287,14373,112.202,112.877,19.01,14.16,50.11,16.73,48.46,51.54,48.45,51.55,86,0.60,39.03,1.29,67.03,10.16,64.20,25.65,4.60,64.22,31.18,51.55,34.76,5.80,7.888,13.99,28.46,6.62,5.91,290,4049,1966,2011,4090,951,850
1403,Almeirim,21154,21380,95.379,96.397,17.35,14.69,52.30,15.66,48.7,51.3,48.23,51.77,226,1.07,39.30,2.85,64.70,41.87,28.51,29.62,29.23,29.51,41.26,55.46,32.35,4.41,7.785,21.45,28.30,5.75,5.26,2763,2790,3901,4586,6050,1230,1124
1404,Alpiarca,8120,7711,85.981,81.65,15.77,12.94,51.25,20.04,47.91,52.09,48.01,51.99,-409,-5.04,39.28,2.48,69.63,47.21,24.19,28.60,36.74,27.48,35.78,56.80,32.81,4.14,6.252,22.66,30.71,4.01,4.56,1186,887,1155,1747,2368,309,352
1405,Benavente,16306,18335,31.27,35.161,18.99,15.46,53.12,12.43,49.57,50.43,49.39,50.61,2029,12.44,37.64,3.53,71.91,32.55,36.75,30.70,20.43,33.78,45.79,51.95,34.63,5.26,8.170,18.67,27.50,6.91,5.91,1690,2795,3788,3424,5042,1267,1084
1406,Cartaxo,22581,22268,142.768,140.789,17.72,14.94,51.10,16.25,49.01,50.99,48.9,51.1,-313,-1.39,35.79,2.89,63.04,24.60,39.35,36.05,16.29,35.73,47.98,51.33,34.58,5.59,8.502,15.07,27.65,6.31,6.40,1452,3184,4276,3356,6158,1406,1426
1407,Chamusca,13135,12282,17.618,16.474,17.33,12.85,51.34,18.49,48.99,51.01,48.52,51.48,-853,-6.49,36.01,3.18,68.80,46.40,29.20,24.40,40.76,26.21,33.03,58.47,31.61,2.64,7.286,21.96,31.15,6.24,3.55,2079,1337,1685,2697,3826,767,436
1408,Constancia,3949,4170,49.339,52.1,19.16,14.94,50.36,15.54,48.06,51.94,48.3,51.7,221,5.60,28.68,3.98,75.90,11.73,52.18,36.10,6.62,38.27,55.11,48.38,37.59,5.30,8.728,15.44,30.46,6.45,6.62,94,543,782,644,1270,269,276
1409,Coruche,25278,23634,22.709,21.232,15.22,13.46,52.78,18.54,49.39,50.61,48.76,51.24,-1644,-6.50,35.20,5.73,80.59,46.05,27.35,26.60,37.59,25.76,36.65,59.35,30.29,3.65,6.710,28.44,25.98,6.16,4.05,3698,2535,3606,6722,6139,1457,957
1410,Entroncamento,11976,14226,874.161,1038.394,17.79,14.25,55.99,11.97,48.25,51.75,48.76,51.24,2250,18.79,34.50,3.35,71.49,1.76,17.35,80.89,0.51,13.92,85.57,38.51,40.18,13.35,7.952,9.10,26.73,4.67,11.22,29,785,4826,1294,3802,665,1596
